Participant,"1 - No Music, Short Task","2 - No Music, Long Task","3 - Music, Short Task","4 - Music, Long Task",WPM,Accuracy (%),Time (s)
1,1,,,,46,98,30
1,,1,,,39,93,02:28
1,,,1,,43,97,35
1,,,,1,41,96,02:27
2,1,,,,64,93,21
2,,1,,,69,94,01:23
2,,,1,,84,95,17
2,,,,1,64,90,01:26
3,1,,,,122,96,12
3,,1,,,110,95,56
3,,,1,,99,88,13
3,,,,1,100,87,53
4,1,,,,72,94,22
4,,1,,,65,89,01:19
4,,,1,,69,97,22
4,,,,1,65,87,01:25
5,1,,,,60,91,24
5,,1,,,50,89,01:59
5,,,1,,96,100,17
5,,,,1,50,89,01:59
6,1,,,,87,99,18
6,,1,,,85,97,01:15
6,,,1,,42,85,25
6,,,,1,83,96,01:18
7,1,,,,42,85,25
7,,1,,,45,88,01:55
7,,,1,,31,80,45
7,,,,1,48,91,01:56
8,1,,,,40,83,25
8,,1,,,50,84,02:00
8,,,1,,37,79,21
8,,,,1,39,78,01:46
9,1,,,,117,96,14
9,,1,,,98,92,01:02
9,,,1,,116,98,13
9,,,,1,102,95,59
10,1,,,,96,94,15
10,,1,,,86,89,01:07
10,,,1,,118,100,13
10,,,,1,88,91,01:04
11,1,,,,115,94,13
11,,1,,,114,97,53
11,,,1,,124,100,13
11,,,,1,111,97,57
12,1,,,,84,92,17
12,,1,,,76,91,01:10
12,,,1,,85,92,15
12,,,,1,75,88,01:10
13,1,,,,98,100,16
13,,1,,,71,94,01:20
13,,,1,,87,96,16
13,,,,1,76,96,01:26
14,1,,,,89,96,17
14,,1,,,71,89,01:11
14,,,1,,97,97,15
14,,,,1,87,92,01:07
15,1,,,,62,89,18
15,,1,,,66,94,01:26
15,,,1,,94,100,16
15,,,,1,80,98,01:16
16,1,,,,66,97,23
16,,1,,,67,98,01:28
16,,,1,,71,96,18
16,,,,1,66,97,01:31